Datetime,kWh
1/07/2012 0:30,1376.249
1/07/2012 1:00,1240.428
1/07/2012 1:30,1131.69
1/07/2012 2:00,1059.596
1/07/2012 2:30,1009.309
1/07/2012 3:00,965.407
1/07/2012 3:30,935.452
1/07/2012 4:00,926.413
1/07/2012 4:30,917.463
1/07/2012 5:00,924.185
1/07/2012 5:30,958.79
1/07/2012 6:00,997.325
1/07/2012 6:30,1054.918
1/07/2012 7:00,1173.617
1/07/2012 7:30,1388.98
1/07/2012 8:00,1606.802
1/07/2012 8:30,1817.326
1/07/2012 9:00,1996.131
1/07/2012 9:30,2064.285
1/07/2012 10:00,2059.264
1/07/2012 10:30,2002.853
1/07/2012 11:00,1945.03
1/07/2012 11:30,1892.719
1/07/2012 12:00,1895.298
1/07/2012 12:30,1849.005
1/07/2012 13:00,1786.876
1/07/2012 13:30,1824.499
1/07/2012 14:00,1823.792
1/07/2012 14:30,1764.373
1/07/2012 15:00,1794.581
1/07/2012 15:30,1818.846
1/07/2012 16:00,1874.151
1/07/2012 16:30,2105.387
1/07/2012 17:00,2442.015
1/07/2012 17:30,2961.802
1/07/2012 18:00,3340.524
1/07/2012 18:30,3481.49
1/07/2012 19:00,3458.28
1/07/2012 19:30,3378.893
1/07/2012 20:00,3267.728
1/07/2012 20:30,3163.513
1/07/2012 21:00,3072.756
1/07/2012 21:30,2915.654
1/07/2012 22:00,2657.51
1/07/2012 22:30,2354.034
1/07/2012 23:00,2055.747
1/07/2012 23:30,1796.12
2/07/2012 0:00,1554.312
2/07/2012 0:30,1382.801
2/07/2012 1:00,1253.159
2/07/2012 1:30,1165.696
2/07/2012 2:00,1094.318
2/07/2012 2:30,1041.836
2/07/2012 3:00,1006.758
2/07/2012 3:30,991.636
2/07/2012 4:00,975.458
2/07/2012 4:30,990.245
2/07/2012 5:00,1059.598
2/07/2012 5:30,1175.718
2/07/2012 6:00,1305.659
2/07/2012 6:30,1460.552
2/07/2012 7:00,1679.755
2/07/2012 7:30,1938.432
2/07/2012 8:00,2124.221
2/07/2012 8:30,2094.389
2/07/2012 9:00,1992.318
2/07/2012 9:30,1861.443
2/07/2012 10:00,1718.077
2/07/2012 10:30,1620.769
2/07/2012 11:00,1572.857
2/07/2012 11:30,1525.989
2/07/2012 12:00,1520.094
2/07/2012 12:30,1515.382
2/07/2012 13:00,1510.217
2/07/2012 13:30,1511.845
2/07/2012 14:00,1481.273
2/07/2012 14:30,1438.935
2/07/2012 15:00,1510.473
2/07/2012 15:30,1531.308
2/07/2012 16:00,1633.882
2/07/2012 16:30,1824.893
